iter	Passed	Remaining
0	3	373
1	244	11963
2	482	15598
3	702	16858
4	706	13417
5	931	14590
6	934	12420
7	939	10806
8	968	9792
9	971	8746
10	975	7891
11	985	7229
12	993	6647
13	1211	7441
14	1217	6896
15	1268	6657
16	1490	7276
17	1493	6804
18	1548	6602
19	1786	7145
20	1805	6793
21	1812	6426
22	2041	6835
23	2048	6485
24	2053	6159
25	2058	5857
26	2308	6241
27	2529	6503
28	2533	6203
29	2539	5924
30	2765	6154
31	2768	5882
32	3016	6125
33	3046	5914
34	3074	5709
35	3078	5473
36	3083	5249
37	3318	5414
38	3539	5536
39	3767	5651
40	3988	5740
41	3992	5513
42	3999	5301
43	4005	5097
44	4009	4900
45	4248	4987
46	4286	4833
47	4545	4924
48	4550	4736
49	4778	4778
50	4783	4595
51	5008	4623
52	5231	4639
53	5475	4664
54	5700	4664
55	5926	4656
56	6150	4640
57	6156	4458
58	6221	4323
59	6224	4149
60	6475	4139
61	6714	4115
62	6945	4079
63	7171	4033
64	7398	3983
65	7407	3816
66	7412	3651
67	7635	3593
68	7860	3531
69	8086	3465
70	8320	3398
71	8549	3324
72	8560	3166
73	8782	3085
74	8785	2928
75	9008	2844
76	9232	2757
77	9457	2667
78	9681	2573
79	9909	2477
80	10135	2377
81	10360	2274
82	10585	2168
83	10820	2061
84	11065	1952
85	11068	1801
86	11298	1688
87	11530	1572
88	11756	1453
89	11977	1330
90	12201	1206
91	12424	1080
92	12428	935
93	12651	807
94	12872	677
95	13115	546
96	13365	413
97	13370	272
98	13374	135
99	13379	0
