iter	Logloss
0	0.6665688861
1	0.6423220788
2	0.6193149844
3	0.5992253985
4	0.5825724101
5	0.5639174472
6	0.5533928228
7	0.5396393042
8	0.5226115935
9	0.5064729802
10	0.4924804869
11	0.4779496549
12	0.4651341273
13	0.4534814262
14	0.443755352
15	0.4338904581
16	0.4230541284
17	0.4162731219
18	0.4070630762
19	0.3979727469
20	0.3914544121
21	0.3856258472
22	0.3792909618
23	0.3747549206
24	0.3696263609
25	0.3651496736
26	0.3593954959
27	0.3543205933
28	0.3509246826
29	0.3482742045
30	0.3439971042
31	0.3418249965
32	0.3375410964
33	0.3341394949
34	0.3310745883
35	0.3292025298
36	0.3276791371
37	0.3241587776
38	0.3208191792
39	0.3178591673
40	0.3145100691
41	0.3132627551
42	0.3111134727
43	0.3094709191
44	0.3082540004
45	0.3046056713
46	0.3029680653
47	0.3001574865
48	0.2988797801
49	0.2969270661
50	0.2960023361
51	0.2928824249
52	0.2899532196
53	0.2876511854
54	0.286032892
55	0.2838087996
56	0.2816135722
57	0.2808621342
58	0.2792861632
59	0.2787937234
60	0.2766783138
61	0.274510972
62	0.2731299067
63	0.2717174671
64	0.2700682523
65	0.2692974264
66	0.2687586241
67	0.2667393443
68	0.2649123669
69	0.2634922109
70	0.2620839177
71	0.2604731353
72	0.2598706486
73	0.2573698414
74	0.2571182189
75	0.2549828972
76	0.2531250776
77	0.2520401612
78	0.2500247698
79	0.2488844154
80	0.2467546329
81	0.2453510728
82	0.2444658997
83	0.2424664209
84	0.2415063981
85	0.2414345438
86	0.2398828853
87	0.2382765516
88	0.2373416593
89	0.2359581084
90	0.2348917842
91	0.2328824144
92	0.2324557426
93	0.2316770774
94	0.2297610591
95	0.2284366979
96	0.227028644
97	0.2268099074
98	0.2267097806
99	0.2264616503
