iter	Logloss
0	0.6684674201
1	0.6425082374
2	0.6193094822
3	0.5990693106
4	0.5820972936
5	0.5634195265
6	0.5531130863
7	0.5381406505
8	0.5245984084
9	0.5071708306
10	0.4905382835
11	0.47611672
12	0.4613488046
13	0.448482505
14	0.4361133316
15	0.4271208409
16	0.4213145407
17	0.4156408807
18	0.4072191787
19	0.3999546935
20	0.393689036
21	0.38651277
22	0.3812018018
23	0.3761108207
24	0.3709610756
25	0.3669606046
26	0.3622910365
27	0.3599547548
28	0.3549078006
29	0.3504762528
30	0.3462399528
31	0.3427083459
32	0.3392712148
33	0.335493628
34	0.3324601649
35	0.3304661067
36	0.3280316425
37	0.3257047839
38	0.3221977232
39	0.3183686442
40	0.3154643499
41	0.3144367061
42	0.3122790626
43	0.3104864746
44	0.3084705377
45	0.3057570425
46	0.3047614246
47	0.302060932
48	0.2994384212
49	0.2966502585
50	0.2946741235
51	0.2916332832
52	0.2892094048
53	0.2879229031
54	0.2857941687
55	0.2838755131
56	0.2822984227
57	0.2804625587
58	0.2785623743
59	0.2771265731
60	0.2751042608
61	0.2745160542
62	0.2729599694
63	0.2710917734
64	0.2683956632
65	0.266684233
66	0.2645675139
67	0.2630794393
68	0.2615274591
69	0.259972668
70	0.2580195314
71	0.2566365362
72	0.2561785281
73	0.2539447464
74	0.2520899552
75	0.2520042119
76	0.2504541305
77	0.2490875822
78	0.2482377544
79	0.245926114
80	0.2447199383
81	0.2446436496
82	0.2435433446
83	0.2421501622
84	0.2407591709
85	0.2400313458
86	0.2383743944
87	0.2375753473
88	0.2364805328
89	0.2356650107
90	0.2346969373
91	0.2333685765
92	0.2318159117
93	0.2309226199
94	0.2296681934
95	0.2289508734
96	0.227851485
97	0.2265979058
98	0.225656605
99	0.2246676789
