iter	Passed	Remaining
0	3	382
1	240	11768
2	462	14945
3	687	16500
4	690	13121
5	923	14473
6	928	12339
7	935	10754
8	986	9975
9	1211	10899
10	1433	11595
11	1655	12137
12	1875	12551
13	1902	11684
14	2125	12046
15	2153	11308
16	2156	10529
17	2159	9836
18	2272	9687
19	2277	9111
20	2283	8591
21	2539	9003
22	2545	8520
23	2549	8072
24	2599	7799
25	2605	7414
26	2828	7647
27	2831	7280
28	3052	7474
29	3278	7650
30	3507	7806
31	3533	7509
32	3584	7277
33	3798	7373
34	4025	7476
35	4029	7164
36	4039	6877
37	4043	6598
38	4268	6676
39	4518	6777
40	4741	6822
41	4743	6551
42	4771	6324
43	4785	6091
44	5010	6123
45	5240	6151
46	5245	5914
47	5467	5923
48	5689	5922
49	5916	5916
50	6164	5922
51	6403	5911
52	6621	5872
53	6647	5662
54	6870	5620
55	7106	5583
56	7363	5555
57	7611	5511
58	7850	5455
59	8093	5395
60	8322	5321
61	8327	5104
62	8568	5032
63	8794	4947
64	9027	4860
65	9261	4771
66	9500	4679
67	9724	4576
68	9945	4468
69	10166	4357
70	10395	4245
71	10631	4134
72	10635	3933
73	10862	3816
74	11091	3697
75	11094	3503
76	11359	3392
77	11597	3271
78	11829	3144
79	12051	3012
80	12280	2880
81	12283	2696
82	12514	2563
83	12741	2426
84	12969	2288
85	13196	2148
86	13422	2005
87	13644	1860
88	13874	1714
89	14113	1568
90	14335	1417
91	14571	1267
92	14802	1114
93	15025	959
94	15250	802
95	15471	644
96	15693	485
97	15916	324
98	16153	163
99	16405	0
