iter	Passed	Remaining
0	2	295
1	225	11062
2	474	15327
3	694	16671
4	698	13274
5	950	14884
6	952	12660
7	958	11019
8	985	9966
9	989	8906
10	992	8029
11	1001	7343
12	1007	6744
13	1022	6284
14	1138	6449
15	1188	6241
16	1441	7036
17	1656	7545
18	1884	8035
19	1888	7554
20	2104	7917
21	2158	7653
22	2388	7994
23	2390	7569
24	2393	7180
25	2445	6958
26	2447	6617
27	2450	6300
28	2692	6592
29	2697	6294
30	2953	6574
31	3200	6801
32	3210	6518
33	3483	6762
34	3718	6906
35	3946	7015
36	4171	7102
37	4403	7184
38	4631	7243
39	4854	7281
40	4870	7009
41	5101	7045
42	5323	7057
43	5549	7063
44	5772	7054
45	5995	7038
46	5998	6764
47	6226	6745
48	6453	6717
49	6696	6696
50	6700	6437
51	6936	6402
52	7051	6252
53	7309	6226
54	7538	6167
55	7781	6114
56	8046	6069
57	8282	5997
58	8511	5914
59	8757	5838
60	9020	5767
61	9024	5530
62	9028	5302
63	9269	5214
64	9273	4993
65	9499	4893
66	9725	4790
67	9949	4681
68	10175	4571
69	10397	4455
70	10618	4337
71	10843	4216
72	11071	4095
73	11297	3969
74	11520	3840
75	11743	3708
76	11964	3573
77	12191	3438
78	12196	3241
79	12425	3106
80	12430	2915
81	12680	2783
82	12904	2643
83	12906	2458
84	13129	2316
85	13353	2173
86	13578	2029
87	13806	1882
88	13810	1706
89	14031	1559
90	14256	1409
91	14477	1258
92	14719	1107
93	14964	955
94	14973	788
95	15208	633
96	15432	477
97	15654	319
98	15887	160
99	16112	0
