iter	Passed	Remaining
0	3	360
1	228	11185
2	231	7499
3	237	5697
4	474	9015
5	700	10975
6	711	9446
7	929	10694
8	1154	11670
9	1160	10442
10	1165	9428
11	1170	8582
12	1177	7877
13	1412	8678
14	1416	8028
15	1419	7452
16	1638	8001
17	1654	7536
18	1656	7063
19	1892	7569
20	1898	7141
21	1907	6761
22	2147	7188
23	2366	7493
24	2599	7799
25	2603	7410
26	2826	7641
27	2829	7274
28	3050	7468
29	3054	7126
30	3275	7290
31	3280	6970
32	3283	6667
33	3286	6379
34	3512	6522
35	3736	6642
36	3951	6728
37	4170	6804
38	4181	6540
39	4185	6278
40	4407	6342
41	4410	6091
42	4631	6138
43	4855	6179
44	5071	6198
45	5290	6210
46	5530	6236
47	5755	6234
48	5978	6222
49	5983	5983
50	6211	5968
51	6216	5738
52	6452	5722
53	6678	5689
54	6909	5652
55	7126	5599
56	7343	5539
57	7562	5476
58	7791	5414
59	7806	5204
60	8042	5141
61	8259	5062
62	8477	4978
63	8694	4890
64	8919	4802
65	8927	4599
66	9143	4503
67	9369	4409
68	9588	4307
69	9806	4202
70	10033	4098
71	10265	3991
72	10483	3877
73	10698	3758
74	10704	3568
75	10707	3381
76	10934	3266
77	11158	3147
78	11160	2966
79	11384	2846
80	11604	2721
81	11832	2597
82	12076	2473
83	12315	2345
84	12539	2212
85	12755	2076
86	12979	1939
87	12985	1770
88	13211	1632
89	13435	1492
90	13438	1329
91	13675	1189
92	13679	1029
93	13907	887
94	14135	743
95	14370	598
96	14593	451
97	14813	302
98	15036	151
99	15259	0
