iter	Logloss
0	0.6702164628
1	0.6451800552
2	0.6292908785
3	0.6080642976
4	0.5885518002
5	0.5649954031
6	0.5423006143
7	0.5243438134
8	0.5069690158
9	0.492244564
10	0.4786453064
11	0.4663659788
12	0.4544149451
13	0.4434717012
14	0.4344156045
15	0.4261325394
16	0.415856963
17	0.4080076022
18	0.4020239096
19	0.3942311922
20	0.3886838822
21	0.3821288479
22	0.3753786758
23	0.3693632899
24	0.3636826619
25	0.3618759583
26	0.3568778701
27	0.3537420285
28	0.3489773736
29	0.3459337575
30	0.3412399345
31	0.3384425173
32	0.3359945224
33	0.3339804514
34	0.3300202111
35	0.3263637466
36	0.3224900415
37	0.3188760183
38	0.316345964
39	0.3145886144
40	0.3113106147
41	0.3103233221
42	0.3075339968
43	0.3044574586
44	0.3012586267
45	0.2985835073
46	0.295854136
47	0.2930733751
48	0.2906850945
49	0.2899877962
50	0.2874925044
51	0.2865771605
52	0.2844449336
53	0.2818995052
54	0.2801282802
55	0.2781188793
56	0.2764553804
57	0.2743343054
58	0.2719090327
59	0.2709147717
60	0.2690378631
61	0.2673548338
62	0.2652096815
63	0.2632845217
64	0.262042174
65	0.2610391705
66	0.2597280383
67	0.2578676291
68	0.2562817531
69	0.254855345
70	0.2533892399
71	0.2521818638
72	0.2505864407
73	0.2488991645
74	0.2483620326
75	0.2481462626
76	0.2466118083
77	0.245107271
78	0.2450689213
79	0.2433244402
80	0.2420871611
81	0.2409765114
82	0.2395315169
83	0.23771434
84	0.2359686399
85	0.2345794752
86	0.2330034789
87	0.2327302656
88	0.2308120757
89	0.2294083337
90	0.2291724011
91	0.2279218179
92	0.2275568123
93	0.2268650242
94	0.225297362
95	0.2238958058
96	0.2229131458
97	0.2216892591
98	0.220168895
99	0.218810325
