iter	Logloss
0	0.6878896284
1	0.6824245506
2	0.6774779883
3	0.6722590246
4	0.666276259
5	0.6604108996
6	0.6549379157
7	0.6499284105
8	0.6446664119
9	0.6393484658
10	0.6344317581
11	0.6294637924
12	0.625503773
13	0.6207695936
14	0.6161412821
15	0.6114871477
16	0.6064928477
17	0.602325401
18	0.5982767931
19	0.5941247733
20	0.5900189932
21	0.5860996108
22	0.5826093394
23	0.5788900524
24	0.5754006336
25	0.5722159374
26	0.5687216923
27	0.5653183028
28	0.5620064183
29	0.5590052178
30	0.5557708924
31	0.5533862557
32	0.5504992323
33	0.5474901816
34	0.5449584061
35	0.5421277122
36	0.540002315
37	0.5373208831
38	0.5346388013
39	0.5320312526
40	0.5299897046
41	0.52751349
42	0.5258887689
43	0.5236743763
44	0.5213740608
45	0.5191952045
46	0.5172399951
47	0.5151709783
48	0.5136199189
49	0.5119402527
50	0.5101629714
51	0.5083241939
52	0.506815845
53	0.5048968026
54	0.503486124
55	0.5015666793
56	0.4998034387
57	0.4979774326
58	0.4963561028
59	0.494945093
60	0.4936022318
61	0.4919857438
62	0.49050819
63	0.4894252005
64	0.4881518111
65	0.487252533
66	0.485778084
67	0.4843795722
68	0.4830961441
69	0.4817533138
70	0.4804499688
71	0.479127944
72	0.4784439167
73	0.4772530347
74	0.4762705602
75	0.4750196619
76	0.4741032741
77	0.4732152657
78	0.4721239242
79	0.4710233565
80	0.4699777768
81	0.4691742163
82	0.468183702
83	0.467567453
84	0.4666183483
85	0.4657285414
86	0.464848015
87	0.4639199769
88	0.4628628604
89	0.4619972521
90	0.4612587183
91	0.4603481922
92	0.4595316938
93	0.458804973
94	0.4580836476
95	0.4575960714
96	0.4569111932
97	0.4560037079
98	0.455179086
99	0.4543553158
100	0.4536290653
101	0.452772824
102	0.4521580855
103	0.4514110273
104	0.450934244
105	0.4502013428
106	0.4497841529
107	0.4491717826
108	0.448592493
109	0.4480594019
110	0.4475912377
111	0.4469291987
112	0.4463976328
113	0.4457697576
114	0.4449936965
115	0.4445301865
116	0.4439291331
117	0.4434414552
118	0.4429456269
119	0.4424454826
120	0.4420938467
121	0.4417071268
122	0.4412040224
123	0.4407071625
124	0.4402444744
125	0.4397258779
126	0.4392693426
127	0.4388674996
128	0.438451392
129	0.438016698
130	0.4375455019
131	0.4373625851
132	0.4369819336
133	0.4365645805
134	0.4361346707
135	0.4357171686
136	0.4353176763
137	0.4349448337
138	0.4346432186
139	0.4342478526
140	0.4339426586
141	0.433601557
142	0.4332379507
143	0.432879749
144	0.4324982129
145	0.4321459866
146	0.43168343
147	0.4314123709
148	0.4309997307
149	0.4306358659
150	0.4302014549
151	0.4300828427
152	0.4297626444
153	0.4294566808
154	0.4292322357
155	0.4289413774
156	0.4286734573
157	0.428196014
158	0.4279027206
159	0.4275814215
160	0.4272539199
161	0.4269446451
162	0.4266773107
163	0.4264030562
164	0.4260728216
165	0.4257609356
166	0.4254833997
167	0.4252195784
168	0.4249405698
169	0.4246839759
170	0.4243299353
171	0.4241695083
172	0.4239970826
173	0.4237878078
174	0.4235407758
175	0.423329872
176	0.4231142516
177	0.4228201148
178	0.4226071869
179	0.4223116647
180	0.4220539559
181	0.421857398
182	0.4216809755
183	0.4214851408
184	0.4213331869
185	0.4211377557
186	0.4209381552
187	0.4207747949
188	0.4206719103
189	0.4203682984
190	0.4201692815
191	0.4198981699
192	0.4196447815
193	0.4194983618
194	0.4193390422
195	0.419183767
196	0.4190635376
197	0.4187567175
198	0.418542535
199	0.4184107641
200	0.4182640426
201	0.4180693532
202	0.4178600876
203	0.4177178547
204	0.4175628209
205	0.4174218406
206	0.4172286728
207	0.4170498088
208	0.4169286422
209	0.4168132119
210	0.416638466
211	0.4165248536
212	0.4163649861
213	0.4161780328
214	0.4160382635
215	0.415899744
216	0.4157481768
217	0.4155890396
218	0.4154914308
219	0.4153416828
220	0.4151747172
221	0.4150595524
222	0.4149172354
223	0.4147782318
224	0.4146426225
225	0.4145108607
226	0.4142806527
227	0.414232359
228	0.4140980543
229	0.4139021642
230	0.4137489865
231	0.4135870671
232	0.4135290717
233	0.4134487349
234	0.4133252889
235	0.4132167392
236	0.4130449664
237	0.4129440574
238	0.4128219779
239	0.4127236657
240	0.4126413489
241	0.4125022917
242	0.4123905603
243	0.4123150982
244	0.4122019379
245	0.412038271
246	0.4119539369
247	0.4118334102
248	0.4116976163
249	0.4115619437
250	0.4114402888
251	0.4112828539
252	0.4111861888
253	0.4111173696
254	0.4110714631
255	0.4109806138
256	0.4108398103
257	0.4107313398
258	0.4106079751
259	0.4104975541
260	0.4103890048
261	0.4102608429
262	0.4101677186
263	0.4101069595
264	0.410020587
265	0.409913263
266	0.4097830525
267	0.409709783
268	0.4096025772
269	0.4095283962
270	0.4094419587
271	0.4094077735
272	0.4092735103
273	0.4091860127
274	0.4090586904
275	0.4089445785
276	0.4087980458
277	0.4086964557
278	0.4086434744
279	0.4086001389
280	0.4084813085
281	0.4084163893
282	0.4083070145
283	0.4081718578
284	0.4081027244
285	0.4080244481
286	0.4079524554
287	0.4078624579
288	0.4077604302
289	0.4076310303
290	0.4075323952
291	0.407453319
292	0.4073754654
293	0.4072976783
294	0.4071772974
295	0.4070688746
296	0.4069992667
297	0.4069511075
298	0.4069057504
299	0.4068713929
300	0.4067997336
301	0.406732275
302	0.4066385222
303	0.4065306461
304	0.4064802891
305	0.4063821578
306	0.4063006044
307	0.4061616119
308	0.4061155737
309	0.4060271193
310	0.4059827428
311	0.405890449
312	0.4058610884
313	0.405815383
314	0.4057618143
315	0.4057069979
316	0.4056118556
317	0.4055097727
318	0.4054552023
319	0.4053927193
320	0.4053335962
321	0.405269564
322	0.405182922
323	0.4051000587
324	0.4050010193
325	0.4049379882
326	0.4048658358
327	0.4047841472
328	0.4047169884
329	0.4046890587
330	0.4046113247
331	0.4045168687
332	0.4044573303
333	0.404388799
334	0.4043433939
335	0.4043014778
336	0.4042230375
337	0.404137875
338	0.4040514289
339	0.4040056437
340	0.403951979
341	0.4038443594
342	0.4037999198
343	0.4037602319
344	0.4037517425
345	0.4036435592
346	0.4036404577
347	0.4035679756
348	0.4034937045
349	0.4034507561
350	0.4034399231
351	0.4034051096
352	0.4033397745
353	0.4032614277
354	0.4031825056
355	0.403129519
356	0.4030691007
357	0.4030061862
358	0.4029991654
359	0.4029758808
360	0.402904375
361	0.4028396387
362	0.4027786366
363	0.4027417869
364	0.4026564709
365	0.4026416162
366	0.4026151149
367	0.4025739624
368	0.4025599251
369	0.4025271363
370	0.4025026702
371	0.4024530729
372	0.4024312928
373	0.4023700414
374	0.4023311303
375	0.4022574903
376	0.4022099355
377	0.4021655064
378	0.4021362722
379	0.4021276156
380	0.4020918681
381	0.4020326046
382	0.401998092
383	0.4019375231
384	0.4019037808
385	0.4018481054
386	0.4017939105
387	0.4017709289
388	0.4017063998
389	0.40168373
390	0.4016623893
391	0.4016177503
392	0.4015628433
393	0.4015145384
394	0.4014182428
395	0.4013760291
396	0.4013253112
397	0.4012580779
398	0.4011371827
399	0.4011103085
