iter	Logloss
0	0.6685183626
1	0.6432890861
2	0.6209395883
3	0.6006940681
4	0.5847105258
5	0.566416144
6	0.5560657756
7	0.534246552
8	0.5162981197
9	0.4984063153
10	0.4849883269
11	0.4711518148
12	0.4594496835
13	0.4460829068
14	0.4345195575
15	0.4257046879
16	0.4166339744
17	0.4105861023
18	0.4024486237
19	0.3946487471
20	0.3871506664
21	0.3803581993
22	0.373354728
23	0.3680484975
24	0.363793683
25	0.3586894461
26	0.3545931232
27	0.3502297398
28	0.3463822698
29	0.3417347983
30	0.3377165756
31	0.3346477868
32	0.3328801872
33	0.3306450964
34	0.3271227335
35	0.3228008741
36	0.3199537245
37	0.3166985481
38	0.3154443932
39	0.3126245896
40	0.309618075
41	0.3071561283
42	0.3042854488
43	0.3011582276
44	0.2982042732
45	0.2971700532
46	0.2947745328
47	0.2936787156
48	0.2912011552
49	0.2889845653
50	0.2865432936
51	0.2856317097
52	0.2835766196
53	0.2829102331
54	0.2811075279
55	0.2800725914
56	0.2783679008
57	0.2763597826
58	0.2749232386
59	0.2726482765
60	0.2706676745
61	0.2693574734
62	0.2682503899
63	0.2663619273
64	0.2656817109
65	0.2656146333
66	0.2646553181
67	0.2632668641
68	0.2619481014
69	0.2607174586
70	0.2587968991
71	0.2572153459
72	0.2559796377
73	0.2551453165
74	0.2537118858
75	0.2516726802
76	0.2497738722
77	0.2481810125
78	0.2474164612
79	0.2455008939
80	0.2448230063
81	0.2440131527
82	0.2430306826
83	0.2416292206
84	0.2399606138
85	0.2381850822
86	0.2371571461
87	0.2362690556
88	0.2362537613
89	0.2347853185
90	0.2335383597
91	0.2334423636
92	0.2322064248
93	0.2318922191
94	0.2307749537
95	0.229368782
96	0.2292914745
97	0.2274096899
98	0.2270998229
99	0.2263282821
